country,total_country_sales,total_country_profit,total_unique_customers,country_revenue
United States,2297200.8602999575,286397.0217000001,793,2297200.8602999575
France,858931.0830000001,109029.00300000004,679,858931.0830000001
Mexico,622590.6175200002,102818.09752000026,670,622590.6175200002
Australia,925235.853,103907.43300000035,660,925235.853
Germany,628840.03050000046,107322.82049999994,582,628840.03050000046
China,700562.02499999886,150683.08499999993,549,700562.02499999886
United Kingdom,528576.299999999,111900.15000000005,529,528576.299999999
India,589650.10499999847,129071.835,494,589650.10499999847
Brazil,361106.41896000027,30090.498959999964,472,361106.41896000027
Indonesia,404887.49789999978,15608.677900000006,469,404887.49789999978